capacity_max|Maximum capacity (number of people)|number|person
product_ty_attr_1147|Trendyol Özellik 1147|enum|
product_ty_attr_115|Derinlik|enum|
product_ty_attr_1150|Ekran Kartı Gücü|enum|
product_ty_attr_1151|Delikler Arası Mesafe|enum|
product_ty_attr_1152|Yapay Zeka|enum|
product_ty_attr_1153|Trendyol Özellik 1153|enum|
product_ty_attr_1154|Trendyol Özellik 1154|enum|
product_ty_attr_1155|Dil|enum|
product_ty_attr_1156|Trendyol Özellik 1156|enum|
product_ty_attr_1157|Ayarlanabilir Baş Desteği|enum|
product_ty_attr_1158|Ara Kat|enum|
product_ty_attr_1159|Ayak Örtüsü|enum|
product_ty_attr_116|Dış Materyal|enum|
product_ty_attr_1160|Alt Açma Ünitesi|enum|
product_ty_attr_1161|360 Derece Dönebilme|enum|
product_ty_attr_1162|5 Noktalı Emniyet Kemeri Sistemi|enum|
product_ty_attr_1163|Çift Yönlü Kullanım|enum|
product_ty_attr_1165|Ön Bar|enum|
product_ty_attr_1166|Sırt Ayarı|enum|
product_ty_attr_1167|Tek Elle Kapama|enum|
product_ty_attr_1168|Tutma Sapı|enum|
product_ty_attr_1169|Yağmurluk|enum|
product_ty_attr_117|Dokuma Tipi|enum|
product_ty_attr_1173|Sineklik|enum|
product_ty_attr_1174|Trendyol Özellik 1174|enum|
product_ty_attr_1175|Isofix Özelliği|enum|
product_ty_attr_1177|Trendyol Özellik 1177|enum|
product_ty_attr_1178|Tekerlek|enum|
product_ty_attr_1179|Maksimum Taşıma Kapasitesi|enum|
product_ty_attr_118|Dolgu Materyali|enum|
product_ty_attr_1180|Trendyol Özellik 1180|enum|
product_ty_attr_1181|Trendyol Özellik 1181|enum|
product_ty_attr_1186|Kutu Durumu|enum|
product_ty_attr_1187|Type-C|enum|
product_ty_attr_119|Dondurucu Özelliği|enum|
product_ty_attr_1190|Burun Tipi|enum|
product_ty_attr_1191|Oturak Derinliği|enum|
product_ty_attr_1192|Menşei|enum|
product_ty_attr_1195|Kalemle Not Alma|enum|
product_ty_attr_1196|Grafik İşlemcisi|enum|
product_ty_attr_1197|Çip Seti|enum|
product_ty_attr_1199|Batarya Türü|enum|
product_ty_attr_12|Kol Tipi|enum|
product_ty_attr_120|Dondurucu Yeri|enum|
product_ty_attr_1201|Trendyol Özellik 1201|enum|
product_ty_attr_1203|Batarya Boyutu|enum|
product_ty_attr_1205|Ürün Güvenliği Bilgisi|enum|
product_ty_attr_1206|Bakım Talimatları (Gıda Temas)|enum|
product_ty_attr_1208|Trendyol Özellik 1208|enum|
product_ty_attr_121|Dosya Tipi|enum|
product_ty_attr_1214|Enerji ve Besin Değerleri|enum|
product_ty_attr_1217|Filtre Türü|enum|
product_ty_attr_1218|İnverter|enum|
product_ty_attr_1223|Filtre Seçeneği|enum|
product_ty_attr_1225|Turbo Başlık|enum|
product_ty_attr_1226|Yarım Yük|enum|
product_ty_attr_1227|Sıcak Soğuk Kullanımı|enum|
product_ty_attr_1228|Çift Ünite|enum|
product_ty_attr_1229|Dara Almak|enum|
product_ty_attr_123|Ebat|enum|
product_ty_attr_1230|Hareket Seçeneği|enum|
product_ty_attr_1231|Trendyol Özellik 1231|enum|
product_ty_attr_1232|Kir Algılama|enum|
product_ty_attr_1234|Trendyol Özellik 1234|enum|
product_ty_attr_1236|Buharlı|enum|
product_ty_attr_1237|Baskılı|enum|
product_ty_attr_1238|Maksimum Ağırlık|enum|
product_ty_attr_124|Ek Özellik|enum|
product_ty_attr_1240|Çöp İstasyonu|enum|
product_ty_attr_1243|Kart Değeri|enum|
product_ty_attr_1246|Isıtma Tekniği|enum|
product_ty_attr_1247|Kol Sayısı|enum|
product_ty_attr_125|Ek Özellikler|enum|
product_ty_attr_126|Trendyol Özellik 126|enum|
product_ty_attr_1262|Paket Derinlik|enum|
product_ty_attr_1263|Paket Genişlik|enum|
product_ty_attr_1264|Paket Yükseklik|enum|
product_ty_attr_127|Ekmek Dilim Kapasitesi|enum|
product_ty_attr_1270|Switch Rengi|enum|
