capacity_max|Maximum capacity (number of people)|number|person
product_ty_attr_700|Trendyol Özellik 700|enum|
product_ty_attr_704|Kap|enum|
product_ty_attr_705|Koltuk Tipi|enum|
product_ty_attr_706|Kumaş|enum|
product_ty_attr_707|Ayak Malzemesi|enum|
product_ty_attr_708|Takım İçeriği|enum|
product_ty_attr_709|Telefon Tutucu Özellikleri|enum|
product_ty_attr_71|Araba Ağırlığı|enum|
product_ty_attr_710|Koleksiyon|enum|
product_ty_attr_712|Trendyol Özellik 712|enum|
product_ty_attr_713|Far (Ampul) Tipleri|enum|
product_ty_attr_714|Tekne|enum|
product_ty_attr_716|Akü Kapasitesi|enum|
product_ty_attr_718|Trendyol Özellik 718|enum|
product_ty_attr_719|Ekran Boyut (inç)|enum|
product_ty_attr_72|Aroma|enum|
product_ty_attr_720|Teyp Özellikleri|enum|
product_ty_attr_721|Hoparlör Şekli|enum|
product_ty_attr_722|Hoparlör Türü|enum|
product_ty_attr_723|Hoparlör Boyut (Çap)|enum|
product_ty_attr_724|Trendyol Özellik 724|enum|
product_ty_attr_725|Bağlantı Türü|enum|
product_ty_attr_726|Kablo Uzunluğu|enum|
product_ty_attr_727|Trendyol Özellik 727|enum|
product_ty_attr_729|Trendyol Özellik 729|enum|
product_ty_attr_730|Kanal Sayısı (Amfi)|enum|
product_ty_attr_731|Trendyol Özellik 731|enum|
product_ty_attr_732|Basınç|enum|
product_ty_attr_735|Trendyol Özellik 735|enum|
product_ty_attr_736|Masa Fonksiyonu|enum|
product_ty_attr_737|Sandalye ve Bank Sayısı|enum|
product_ty_attr_738|Sandalye Rengi|enum|
product_ty_attr_739|Sandalye Kumaşı|enum|
product_ty_attr_740|Masa Ölçüsü|enum|
product_ty_attr_744|Ayna Fonksiyonu|enum|
product_ty_attr_745|Trendyol Özellik 745|enum|
product_ty_attr_747|Trendyol Özellik 747|enum|
product_ty_attr_748|Trendyol Özellik 748|enum|
product_ty_attr_749|Trendyol Özellik 749|enum|
product_ty_attr_751|Kol Desteği|enum|
product_ty_attr_752|Sırt Mekanizması|enum|
product_ty_attr_753|Trendyol Özellik 753|enum|
product_ty_attr_756|Dolap Ölçüsü|enum|
product_ty_attr_757|Alt Modül Ölçüsü|enum|
product_ty_attr_758|Üst Modül Ölçüsü|enum|
product_ty_attr_76|Ayak Tipi|enum|
product_ty_attr_760|Titreşim|enum|
product_ty_attr_762|Sesli Görüşme|enum|
product_ty_attr_769|Oyuncu Sayısı|enum|
product_ty_attr_774|Takım Tipi|enum|
product_ty_attr_776|Mandren Tipi|enum|
product_ty_attr_777|Port Sayısı|enum|
product_ty_attr_778|Trendyol Özellik 778|enum|
product_ty_attr_779|Trendyol Özellik 779|enum|
product_ty_attr_78|Ayar|enum|
product_ty_attr_780|Trendyol Özellik 780|enum|
product_ty_attr_784|Trendyol Özellik 784|enum|
product_ty_attr_787|Trendyol Özellik 787|enum|
product_ty_attr_789|Trendyol Özellik 789|enum|
product_ty_attr_79|Bağlama Şekli|enum|
product_ty_attr_790|Touchpad|enum|
product_ty_attr_791|Numerik Tuşlar|enum|
product_ty_attr_793|Klavye Dili|enum|
product_ty_attr_794|Enerji Sınıf Aralığı|enum|
product_ty_attr_796|Watt Aralığı|enum|
product_ty_attr_797|Trendyol Özellik 797|enum|
product_ty_attr_799|Uçuş Süresi|enum|
product_ty_attr_80|Bağlantı|enum|
product_ty_attr_800|Uçuş Mesafesi|enum|
product_ty_attr_802|Kamera Özelliği|enum|
product_ty_attr_803|Beni Takip Et Modu|enum|
product_ty_attr_804|Sivil Havacılık İzni|enum|
product_ty_attr_805|Yedek Batarya|enum|
product_ty_attr_806|Trendyol Özellik 806|enum|
product_ty_attr_807|Trendyol Özellik 807|enum|
product_ty_attr_808|Trendyol Özellik 808|enum|
product_ty_attr_813|Parti Konsepti|enum|
product_ty_attr_814|Balon Çeşidi|enum|
product_ty_attr_816|Trendyol Özellik 816|enum|
product_ty_attr_819|Trendyol Özellik 819|enum|
product_ty_attr_82|Bağlantı Tipi|enum|
product_ty_attr_820|Ürün Özelliği|enum|
product_ty_attr_821|Yavrulu Yatak|enum|
product_ty_attr_822|Sandalye Sayısı|enum|
product_ty_attr_823|Alt Modül Yükseklik|enum|
product_ty_attr_824|Alt Modül Genişlik|enum|
product_ty_attr_825|Üst Modül Yükseklik|enum|
product_ty_attr_826|Üst Modül Genişlik|enum|
product_ty_attr_829|Trendyol Özellik 829|enum|
product_ty_attr_83|Bağlantılar|enum|
product_ty_attr_830|Askılık Tipi|enum|
product_ty_attr_834|Trendyol Özellik 834|enum|
product_ty_attr_835|Trendyol Özellik 835|enum|
product_ty_attr_836|Trendyol Özellik 836|enum|
product_ty_attr_837|Set İçeriği|enum|
product_ty_attr_838|Trendyol Özellik 838|enum|
product_ty_attr_840|Trendyol Özellik 840|enum|
product_ty_attr_841|Kanat Sayısı|enum|
product_ty_attr_842|Trendyol Özellik 842|enum|
product_ty_attr_844|Roman Türü|enum|
product_ty_attr_845|Trendyol Özellik 845|enum|
product_ty_attr_846|Pompa Durumu|enum|
product_ty_attr_847|Trendyol Özellik 847|enum|
product_ty_attr_848|Trendyol Özellik 848|enum|
product_ty_attr_85|Trendyol Özellik 85|enum|
product_ty_attr_857|Sallanma Fonksiyonu|enum|
product_ty_attr_858|İç Yatak Ölçüsü|enum|
product_ty_attr_859|Maksimum İşlemci Hızı (GHz)|enum|
product_ty_attr_86|Bellek Kapasitesi|enum|
product_ty_attr_865|İğne Sayısı|enum|
product_ty_attr_866|İğne Kalınlığı|enum|
product_ty_attr_869|Kalıcılık|enum|
product_ty_attr_87|Bellek Kartı Tipi|enum|
product_ty_attr_870|Persona|enum|
product_ty_attr_872|Cilt Bilgisi|enum|
product_ty_attr_874|Kitap İçeriği|enum|
product_ty_attr_875|Basım Yılı|enum|
product_ty_attr_877|Yükseklik Ayarı|enum|
product_ty_attr_878|Sim Kart Uyumu|enum|
product_ty_attr_88|Berraklık|enum|
product_ty_attr_880|Siluet|enum|
product_ty_attr_881|Ortam|enum|
product_ty_attr_882|Trendyol Özellik 882|enum|
product_ty_attr_885|Ayak Sayısı|enum|
product_ty_attr_886|Yön|enum|
product_ty_attr_887|Bölme Sayısı|enum|
product_ty_attr_888|Trendyol Özellik 888|enum|
product_ty_attr_889|Haritalandırma|enum|
product_ty_attr_89|Bilek Stili|enum|
product_ty_attr_891|Baskı/Nakış Tekniği|enum|
product_ty_attr_892|Sürdürülebilirlik Detayı|enum|
product_ty_attr_893|Kemer/Kuşak Durumu|enum|
product_ty_attr_896|Deri Kalitesi|enum|
product_ty_attr_897|Alt Siluet|enum|
product_ty_attr_898|Trendyol Özellik 898|enum|
product_ty_attr_899|Astar Materyali|enum|
product_ty_attr_9|Güç (Watt)|enum|
product_ty_attr_902|Dolgu Tekniği|enum|
product_ty_attr_903|İç Taban Materyali|enum|
product_ty_attr_905|Trendyol Özellik 905|enum|
product_ty_attr_906|Saya Materyali|enum|
product_ty_attr_907|Taban Materyali|enum|
product_ty_attr_908|Üst Siluet|enum|
product_ty_attr_909|Aşılabilir Engel Seviyesi|enum|
product_ty_attr_91|Boyut|enum|
product_ty_attr_910|Ayarlanabilir Pişirme Derecesi|enum|
product_ty_attr_911|Trendyol Özellik 911|enum|
product_ty_attr_912|Başlık Sayısı|enum|
product_ty_attr_913|Trendyol Özellik 913|enum|
product_ty_attr_914|Vücut Kitle İndeksi Ölçümü|enum|
product_ty_attr_915|Bazal Metabolizma Hızı Ölçümü|enum|
product_ty_attr_917|Cezve Malzemesi|enum|
product_ty_attr_918|Cilt Tonu Sensörü|enum|
product_ty_attr_92|Boyut/Ebat|enum|
product_ty_attr_920|Çıkarılabilir Plaka|enum|
product_ty_attr_921|Çırpıcı|enum|
product_ty_attr_922|Demlik Kapasitesi|enum|
product_ty_attr_923|Demlik Malzemesi|enum|
product_ty_attr_924|Difüzör|enum|
product_ty_attr_925|Dijital Ekran|enum|
product_ty_attr_926|Hazne Malzemesi|enum|
product_ty_attr_927|Doğrayıcı|enum|
product_ty_attr_929|Trendyol Özellik 929|enum|
product_ty_attr_930|Trendyol Özellik 930|enum|
product_ty_attr_932|Trendyol Özellik 932|enum|
product_ty_attr_933|Güç Kontrolü|enum|
product_ty_attr_934|Hepa Filtre|enum|
product_ty_attr_935|Izgara Özelliği|enum|
product_ty_attr_936|İyon Özelliği|enum|
product_ty_attr_938|Kademe Ayarı|enum|
product_ty_attr_939|Karaf Malzemesi|enum|
product_ty_attr_941|Trendyol Özellik 941|enum|
product_ty_attr_942|Kireç Önleme|enum|
product_ty_attr_943|LCD Ekran|enum|
product_ty_attr_944|Motor Teknolojisi|enum|
product_ty_attr_945|Motor Tipi|enum|
product_ty_attr_946|Otomatik Kireç Temizleme Alarmı|enum|
product_ty_attr_947|Otomatik Su Alımı|enum|
product_ty_attr_948|Öğütme Ayarı|enum|
product_ty_attr_95|Buzluk Tipi|enum|
product_ty_attr_950|Pişirme Kapasitesi|enum|
product_ty_attr_951|Plaka Kullanımı|enum|
product_ty_attr_952|Trendyol Özellik 952|enum|
product_ty_attr_953|Rendeleme ve Dilimleme Diski|enum|
product_ty_attr_954|Sesli Uyarı|enum|
product_ty_attr_957|Trendyol Özellik 957|enum|
product_ty_attr_958|Trendyol Özellik 958|enum|
product_ty_attr_959|Sürekli Buhar|enum|
product_ty_attr_96|Cam Materyali|enum|
product_ty_attr_960|Süt Köpürtücü|enum|
product_ty_attr_961|Şarj Standı|enum|
product_ty_attr_962|Şok Buhar|enum|
product_ty_attr_964|Uygulama Üzerinden Kontrol|enum|
product_ty_attr_965|Vücut Su Oranı Ölçümü|enum|
product_ty_attr_967|Trendyol Özellik 967|enum|
product_ty_attr_968|Trendyol Özellik 968|enum|
product_ty_attr_969|Trendyol Özellik 969|enum|
product_ty_attr_97|Cam Şekli|enum|
product_ty_attr_970|Yer Silme Özelliği|enum|
product_ty_attr_971|Yumurta Kapasitesi|enum|
product_ty_attr_972|Zamanlayıcı|enum|
product_ty_attr_973|Priz Sayısı|enum|
product_ty_attr_974|Hamur Kancası|enum|
product_ty_attr_975|Damlama Haznesi|enum|
product_ty_attr_976|El Süpürgesi Kullanımı|enum|
product_ty_attr_977|Buz Kırabilme|enum|
product_ty_attr_978|Aynı Anda Hazırlama Kapasitesi|enum|
product_ty_attr_979|Kahve Çekirdeği Öğütebilme|enum|
product_ty_attr_981|Burun ve Kulak Temizleme Başlığı|enum|
product_ty_attr_982|Dim Özelliği|enum|
product_ty_attr_983|Akü Sayısı|enum|
product_ty_attr_984|Trendyol Özellik 984|enum|
product_ty_attr_987|Materyal Bileşeni|enum|
product_ty_attr_989|Dil Seviyesi|enum|
product_ty_attr_990|Trendyol Özellik 990|enum|
product_ty_attr_991|Trendyol Özellik 991|enum|
product_ty_attr_992|Trendyol Özellik 992|enum|
product_ty_attr_993|Trendyol Özellik 993|enum|
product_ty_attr_994|Enerji Tasarrufu|enum|
product_ty_attr_995|Miktar|enum|
product_ty_attr_997|Trendyol Özellik 997|enum|
real_estate_balcony|Balkon|boolean|
real_estate_bathroom_count|Banyo sayısı|enum|
real_estate_building_age|Bina yaşı|enum|
real_estate_elevator|Asansör|boolean|
real_estate_face|Cephe|enum|
real_estate_floor|Bulunduğu kat|enum|
real_estate_floor_count|Bina kat sayısı|enum|
real_estate_furnished|Eşyalı|boolean|
real_estate_garden|Bahçe|boolean|
real_estate_heating|Isıtma|enum|
real_estate_house_proprietorship|Tapu durumu|enum|
real_estate_listing_date|İlan tarihi|enum|
real_estate_multimedia|Medya|enum|
real_estate_parking|Otopark|boolean|
real_estate_room_type|Oda sayısı|enum|
real_estate_seller_type|İlan veren|enum|
real_estate_sqm_gross|Brüt m²|number|m2
real_estate_sqm_net|Net m²|number|m2
real_estate_usage_status|Kullanım durumu|enum|
real_estate_wifi|Wi-Fi|boolean|
real_estate_within_housing_estate|Site içerisinde|boolean|
spicy_level|Spicy level (0-10)|number|
vehicle_bed_capacity|Yatak kapasitesi|enum|
vehicle_body_type|Kasa tipi|enum|
vehicle_brand|Marka|string|
vehicle_caravan_type|Karavan tipi|enum|
vehicle_chassis_type|Şasi tipi|enum|
vehicle_color|Renk|enum|
vehicle_condition|Araç durumu|enum|
vehicle_cylinder_count|Silindir sayısı|enum|
vehicle_damage_status|Boya/değişen/parça durumu|enum|
vehicle_drive_type|Çekiş|enum|
vehicle_engine_displacement_bucket|Motor hacmi (aralık)|enum|
vehicle_engine_displacement_cc|Motor hacmi|number|cc
vehicle_engine_power_bucket|Motor gücü (aralık)|enum|
vehicle_engine_power_hp|Motor gücü|number|hp
vehicle_equipment|Donanım|enum|
vehicle_fuel_type|Yakıt türü|enum|
vehicle_heavy_damage_record|Ağır hasar kayıtlı|boolean|
vehicle_heavy_damage_record_status|Ağır hasar kayıtlı (seçim)|enum|
vehicle_km|Kilometre|number|km
vehicle_km_bucket|Kilometre (aralık)|enum|
vehicle_listing_age|İlan tarihi (son X gün)|enum|
vehicle_min_rent_days|Minimum kiralama günü|number|day
vehicle_model|Model|string|
vehicle_motorcycle_type|Motosiklet tipi|enum|
vehicle_panelvan_body_type|Minivan/panelvan kasa tipi|enum|
vehicle_plate_status|Plaka|enum|
vehicle_registration_type|Araç cinsi (ruhsat)|enum|
vehicle_seat_count|Koltuk sayısı|enum|
vehicle_seller_type|İlan sahibi|enum|
vehicle_share_status|Hisseli|enum|
vehicle_special_listing|Özel ilanlar|enum|
vehicle_station_bound|Durağa bağlı|enum|
vehicle_swap|Takasa uygun|boolean|
vehicle_swap_status|Takasa uygun (Evet/Hayır)|enum|
vehicle_timing_type|Zamanlama tipi|enum|
vehicle_tractor_cabin|Kabin|enum|
vehicle_tractor_type|Traktör tipi|enum|
vehicle_transmission|Vites|enum|
vehicle_upper_body|Üst yapı|enum|
vehicle_with_vehicle|Araçla birlikte|enum|
vehicle_working_hours|Çalışma saati|number|hour
vehicle_year|Model yılı|number|
