product_ty_attr_1085|Trendyol ?????zellik 1085|enum||2026-03-04 14:52:19
product_ty_attr_1086|Trendyol ?????zellik 1086|enum||2026-03-04 14:52:19
product_ty_attr_1087|Trendyol ?????zellik 1087|enum||2026-03-04 14:52:19
product_ty_attr_1088|Kesme Geni????li????i|enum||2026-03-04 14:52:19
product_ty_attr_1089|Trendyol ?????zellik 1089|enum||2026-03-04 14:52:19
product_ty_attr_109|?????ivi Tipi|enum||2026-03-04 14:52:19
product_ty_attr_1090|Trendyol ?????zellik 1090|enum||2026-03-04 14:52:19
product_ty_attr_1091|Ders|enum||2026-02-24 03:52:56
product_ty_attr_1093|Kullan????m T????r????|enum||2026-03-04 14:52:19
product_ty_attr_1094|Adet|enum||2026-02-24 03:52:56
product_ty_attr_1095|?????i????ek T????r????|enum||2026-03-04 14:52:19
product_ty_attr_1096|Trendyol ?????zellik 1096|enum||2026-03-04 14:52:19
product_ty_attr_1097|Hav Y????ksekli????i|enum||2026-03-04 14:52:19
product_ty_attr_1098|Aksesuar Tipi|enum||2026-02-24 03:52:56
product_ty_attr_1099|I????????k Ge????irgenli????i|enum||2026-03-04 14:52:19
product_ty_attr_11|Kasa Tipi|enum||2026-02-24 03:52:56
product_ty_attr_110|?????????z????n????rl????k|enum||2026-03-04 14:52:19
product_ty_attr_1100|Trendyol ?????zellik 1100|enum||2026-03-04 14:52:19
product_ty_attr_1101|Pile|enum||2026-02-24 03:52:56
product_ty_attr_1102|Sa????ak Tipi|enum||2026-03-04 14:52:19
product_ty_attr_1103|Yerden Y????ksekli????i|enum||2026-03-04 14:52:19
product_ty_attr_1104|Trendyol ?????zellik 1104|enum||2026-03-04 14:52:19
product_ty_attr_1105|G????r????lt???? Seviyesi|enum||2026-03-04 14:52:19
product_ty_attr_1106|???????? Materyal|enum||2026-03-04 14:52:19
product_ty_attr_1107|Koku Aromas????|enum||2026-03-04 14:52:19
product_ty_attr_1108|Sezon|enum||2026-02-24 03:52:56
product_ty_attr_111|?????????z????n????rl????k Teknolojisi|enum||2026-03-04 14:52:19
product_ty_attr_1110|Koku T????r????|enum||2026-03-04 14:52:19
product_ty_attr_1111|Kozmetik Durum|enum||2026-02-24 03:52:56
product_ty_attr_1118|Trendyol ?????zellik 1118|enum||2026-03-04 14:52:19
